"EVENT_TYPE","mean"
"Tornado",5.51706700379267
"Marine Thunderstorm Wind",12.3905109489051
"Thunderstorm Wind",17.6399092970522
"Hail",18.8761589403973
"Flash Flood",257.657691205958
"High Wind",391.048275862069
"Strong Wind",420.106312292359
"Heavy Rain",815.39243498818
"Winter Weather",830.345315904139
"Heavy Snow",1347.74129651861
"Winter Storm",1562.98492462312
"Flood",3495.97571942446
"Drought",35573.4159146842
