"EVENT_TYPE","mean"
"Hail",1.25249337748344
"High Wind",51.6748275862069
"Marine Thunderstorm Wind",40.0620437956204
"Strong Wind",39.547065337763
"Thunderstorm Wind",55.0836734693878
